a,r,b
{sys_id:2614},"{type:with_browser,sys_id:1205}",{sys_id:1210}
{sys_id:2706},"{type:with_browser,sys_id:1208}",{sys_id:1210}
{sys_id:3434},"{type:with_browser,sys_id:1227}",{sys_id:1210}
{sys_id:2601},"{type:with_browser,sys_id:1249}",{sys_id:1210}
{sys_id:2744},"{type:with_browser,sys_id:1252}",{sys_id:1210}
{sys_id:2711},"{type:with_browser,sys_id:1236}",{sys_id:1210}
{sys_id:2659},"{type:with_browser,sys_id:1244}",{sys_id:1210}
{sys_id:2736},"{type:with_browser,sys_id:1348}",{sys_id:1210}
{sys_id:2712},"{type:with_browser,sys_id:1352}",{sys_id:1210}
{sys_id:2737},"{type:with_browser,sys_id:1336}",{sys_id:1210}
{sys_id:2715},"{type:with_browser,sys_id:1364}",{sys_id:1210}
{sys_id:2610},"{type:with_browser,sys_id:1369}",{sys_id:1210}
{sys_id:503},"{type:with_browser,sys_id:1386}",{sys_id:1210}
{sys_id:2766},"{type:with_browser,sys_id:1430}",{sys_id:1210}
{sys_id:2803},"{type:with_browser,sys_id:1456}",{sys_id:1210}
{sys_id:2772},"{type:with_browser,sys_id:1499}",{sys_id:1210}
{sys_id:2794},"{type:with_browser,sys_id:1407}",{sys_id:1210}
{sys_id:2774},"{type:with_browser,sys_id:1539}",{sys_id:1210}
{sys_id:2837},"{type:with_browser,sys_id:1614}",{sys_id:1210}
{sys_id:2784},"{type:with_browser,sys_id:2670}",{sys_id:1210}
{sys_id:2928},"{type:with_browser,sys_id:1922}",{sys_id:1210}
{sys_id:1255},"{type:распределение,sys_id:2352}",{sys_id:1247}
{sys_id:1255},"{type:распределение,sys_id:2353}",{sys_id:1248}
{sys_id:1255},"{type:распределение,sys_id:2354}",{sys_id:1249}
{sys_id:1255},"{type:распределение,sys_id:2355}",{sys_id:1250}
{sys_id:1255},"{type:распределение,sys_id:2356}",{sys_id:1251}
{sys_id:1255},"{type:распределение,sys_id:2357}",{sys_id:1252}
{sys_id:1255},"{type:распределение,sys_id:2358}",{sys_id:1253}
{sys_id:1255},"{type:распределение,sys_id:2359}",{sys_id:1254}
{sys_id:1256},"{type:ценообразование,sys_id:2360}",{sys_id:1255}
{sys_id:3221},"{type:принадлежит,sys_id:2665}",{sys_id:1289}
{sys_id:2440},"{type:позиция,номер:1,sys_id:3625}",{sys_id:1289}
{sys_id:3500},"{type:позиция,номер:1,sys_id:3695}",{sys_id:1289}
{sys_id:3218},"{type:позиция,номер:2,sys_id:3308}",{sys_id:1289}
{sys_id:3182},"{type:позиция,номер:5,sys_id:3258}",{sys_id:1289}
{sys_id:3202},"{type:позиция,номер:3,sys_id:3282}",{sys_id:1289}
{sys_id:3198},"{type:позиция,номер:4,sys_id:3270}",{sys_id:1289}
{sys_id:1347},"{type:позиция,номер:5,sys_id:2477}",{sys_id:1289}
{sys_id:1293},"{type:позиция,номер:6,sys_id:2437}",{sys_id:1289}
{sys_id:1291},"{type:реферер,sys_id:2431}",{sys_id:1289}
{sys_id:1326},"{type:реферал,sys_id:2349}",{sys_id:1289}
{sys_id:1209},"{type:кому,номер:7,sys_id:2339}",{sys_id:1289}
{sys_id:1208},"{type:позиция,номер:7,sys_id:2336}",{sys_id:1289}
{sys_id:1289},"{type:имеет,sys_id:2428}",{sys_id:1290}
{sys_id:3188},"{type:принадлежит,sys_id:2660}",{sys_id:1291}
{sys_id:2481},"{type:with_member,sys_id:2366}",{sys_id:1291}
{sys_id:3365},"{type:with_member,sys_id:2365}",{sys_id:1291}
{sys_id:501},"{type:with_member,sys_id:2364}",{sys_id:1291}
{sys_id:3441},"{type:with_member,sys_id:2363}",{sys_id:1291}
{sys_id:2440},"{type:позиция,номер:2,sys_id:3627}",{sys_id:1291}
{sys_id:3500},"{type:позиция,номер:2,sys_id:3696}",{sys_id:1291}
{sys_id:3218},"{type:позиция,номер:3,sys_id:3309}",{sys_id:1291}
{sys_id:3182},"{type:позиция,номер:6,sys_id:3259}",{sys_id:1291}
{sys_id:3180},"{type:реферер,sys_id:3253}",{sys_id:1291}
{sys_id:3202},"{type:позиция,номер:4,sys_id:3283}",{sys_id:1291}
{sys_id:3198},"{type:позиция,номер:5,sys_id:3271}",{sys_id:1291}
{sys_id:1347},"{type:позиция,номер:6,sys_id:2478}",{sys_id:1291}
