a,r,b
{sys_id:2720},"{type:от,sys_id:1159}",{sys_id:1324}
{sys_id:2699},"{type:от,sys_id:3541}",{sys_id:1324}
{sys_id:2621},"{type:от,sys_id:3304}",{sys_id:1324}
{sys_id:2693},"{type:от,sys_id:3456}",{sys_id:1324}
{sys_id:2688},"{type:от,sys_id:3242}",{sys_id:1324}
{sys_id:2682},"{type:от,sys_id:3230}",{sys_id:1324}
{sys_id:2613},"{type:от,sys_id:3143}",{sys_id:1324}
{sys_id:2634},"{type:от,sys_id:3131}",{sys_id:1324}
{sys_id:2651},"{type:от,sys_id:3085}",{sys_id:1324}
{sys_id:2548},"{type:от,sys_id:3001}",{sys_id:1324}
{sys_id:2561},"{type:от,sys_id:3047}",{sys_id:1324}
{sys_id:1209},"{type:от,sys_id:2338}",{sys_id:1324}
{sys_id:1294},"{type:от,sys_id:2440}",{sys_id:1324}
{sys_id:1344},"{type:от,sys_id:2468}",{sys_id:1324}
{sys_id:1348},"{type:от,sys_id:2481}",{sys_id:1324}
{sys_id:471},"{type:от,sys_id:1905}",{sys_id:1324}
{sys_id:475},"{type:от,sys_id:1918}",{sys_id:1324}
{sys_id:487},"{type:от,sys_id:1941}",{sys_id:1324}
{sys_id:3199},"{type:от,sys_id:3275}",{sys_id:1324}
{sys_id:3203},"{type:от,sys_id:3288}",{sys_id:1324}
{sys_id:3183},"{type:от,sys_id:3262}",{sys_id:1324}
{sys_id:3219},"{type:от,sys_id:3315}",{sys_id:1324}
{sys_id:3187},"{type:от,sys_id:3415}",{sys_id:1324}
{sys_id:3191},"{type:от,sys_id:3428}",{sys_id:1324}
{sys_id:3193},"{type:от,sys_id:3438}",{sys_id:1324}
{sys_id:3224},"{type:от,sys_id:3469}",{sys_id:1324}
{sys_id:3228},"{type:от,sys_id:3482}",{sys_id:1324}
{sys_id:3317},"{type:от,sys_id:3491}",{sys_id:1324}
{sys_id:500},"{type:от,sys_id:1965}",{sys_id:1324}
